folder,exp_name,approach,datasets,num_tasks,nc_first_task,scenario,seed,batch_size,clipping,exemplar_selection,lamb,T,alpha,beta,gamma,damping,fim_num_samples,fim_sampling_type,lr,lr_factor,network,nepochs,final_avg_acc_taw,final_avg_acc_tag,final_avg_taw_forg,final_avg_tag_forg
cifar100_icarl_path_integral_path_integral_3_33_34_lamb_0.1_damping_0.05_seed0,path_integral_3_33_34_lamb_0.1_damping_0.05_seed0,path_integral,cifar100_icarl,3,33,(3/33-34),0,128,10000,herding,0.1,,,,,0.05,,,0.1,3,resnet32,50,39.8,39.8,39.8,39.8
cifar100_icarl_ewc_ewc_5_20_lamb_2000_seed0,ewc_5_20_lamb_2000_seed0,ewc,cifar100_icarl,5,20,(5/20),0,128,10000,herding,2000,,0.5,,,,,,0.1,3,resnet32,50,48.9,48.9,48.9,48.9
cifar100_icarl_ewc_ewc_10_10_lamb_5000_seed0,ewc_10_10_lamb_5000_seed0,ewc,cifar100_icarl,10,10,(10/10),0,128,10000,herding,5000,,0.5,,,,,,0.1,3,resnet32,50,52.7,52.7,52.7,52.7
cifar100_icarl_lwf_lwf_5_20_lamb_2_T_5_seed0,lwf_5_20_lamb_2_T_5_seed0,lwf,cifar100_icarl,5,20,(5/20),0,128,10000,herding,2,5,,,,,,,0.1,3,resnet32,50,46.9,46.9,46.9,46.9
cifar100_icarl_lwf_lwf_5_20_lamb_5_T_2_seed0,lwf_5_20_lamb_5_T_2_seed0,lwf,cifar100_icarl,5,20,(5/20),0,128,10000,herding,5,2,,,,,,,0.1,3,resnet32,50,46.9,46.9,46.9,46.9
cifar100_icarl_lwm_lwm_5_40_15_beta_3_gamma_10_seed0,lwm_5_40_15_beta_3_gamma_10_seed0,lwm,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,,,,3,10,,,,0.1,3,resnet32,50,44.7,44.7,44.7,44.7
cifar100_icarl_path_integral_path_integral_5_40_15_lamb_0.5_damping_0.1_seed0,path_integral_5_40_15_lamb_0.5_damping_0.1_seed0,path_integral,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,0.5,,,,,0.1,,,0.1,3,resnet32,50,47.3,47.3,47.3,47.3
cifar100_icarl_ewc_ewc_5_20_lamb_100_seed0,ewc_5_20_lamb_100_seed0,ewc,cifar100_icarl,5,20,(5/20),0,128,10000,herding,100,,0.5,,,,,,0.1,3,resnet32,50,49.2,49.2,49.2,49.2
cifar100_icarl_r_walk_r_walk_5_20_lamb_5_alpha_0.5_seed0,r_walk_5_20_lamb_5_alpha_0.5_seed0,r_walk,cifar100_icarl,5,20,(5/20),0,128,10000,herding,5,,0.5,,,0.1,-1,max_pred,0.1,3,resnet32,50,45.8,45.8,45.8,45.8
cifar100_icarl_mas_mas_5_40_15_lamb_100_seed0,mas_5_40_15_lamb_100_seed0,mas,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,100,,0.5,,,,,,0.1,3,resnet32,50,46.3,46.3,46.3,46.3
